Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
Australian government capital expenditure,91767,0,2023,44664,"Footscray West Primary School, West Footscray, VIC","526,261"
State / territory government capital expenditure,400738,0,2023,44664,"Footscray West Primary School, West Footscray, VIC","2,109,907"
New school loans,0,0,2023,44664,"Footscray West Primary School, West Footscray, VIC",0
Income allocated to current capital projects,0,0,2023,44664,"Footscray West Primary School, West Footscray, VIC",0
Other,78673,0,2023,44664,"Footscray West Primary School, West Footscray, VIC","129,744"
Total capital expenditure,571178,0,2023,44664,"Footscray West Primary School, West Footscray, VIC","2,765,912"
Australian government capital expenditure,44965,521699,2015,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,59525,602203,2015,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC",
Other,0,21981,2015,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,104490,1145883,2015,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,169364,422506,2019,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,529735,1424078,2019,45475,"University High School, Parkville, VIC",
New school loans,0,0,2019,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2019,45475,"University High School, Parkville, VIC",
Other,93483,222996,2019,45475,"University High School, Parkville, VIC",
Total capital expenditure,792582,2069580,2019,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,154070,343488,2015,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,203961,429356,2015,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC",
Other,70886,93349,2015,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,428917,866193,2015,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,4956934,5296478,2021,52703,"Richmond High School, Richmond, VIC",
State / territory government capital expenditure,19569112,20660122,2021,52703,"Richmond High School, Richmond, VIC",
New school loans,0,0,2021,52703,"Richmond High School, Richmond, VIC",
Income allocated to current capital projects,0,0,2021,52703,"Richmond High School, Richmond, VIC",
Other,0,0,2021,52703,"Richmond High School, Richmond, VIC",
Total capital expenditure,24526046,25956600,2021,52703,"Richmond High School, Richmond, VIC",
Australian government capital expenditure,18773,55163,2014,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,13020,61760,2014,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2014,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2014,44461,"Kensington Primary School, Kensington, VIC",
Other,14154,27933,2014,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,45947,144856,2014,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,17085,40198,2018,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,51413,158078,2018,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2018,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2018,44693,"Kingsville Primary School, Yarraville, VIC",
Other,16770,41825,2018,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,85268,240101,2018,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,17743,858573,2022,44919,"Altona North Primary School, Altona North, VIC",
State / territory government capital expenditure,68105,3412960,2022,44919,"Altona North Primary School, Altona North, VIC",
New school loans,0,0,2022,44919,"Altona North Primary School, Altona North, VIC",
Income allocated to current capital projects,0,0,2022,44919,"Altona North Primary School, Altona North, VIC",
Other,57881,65941,2022,44919,"Altona North Primary School, Altona North, VIC",
Total capital expenditure,143729,4337474,2022,44919,"Altona North Primary School, Altona North, VIC",
Australian government capital expenditure,14593,87638,2022,44634,"Spotswood Primary School, Spotswood, VIC",
State / territory government capital expenditure,56012,345905,2022,44634,"Spotswood Primary School, Spotswood, VIC",
New school loans,0,0,2022,44634,"Spotswood Primary School, Spotswood, VIC",
Income allocated to current capital projects,0,0,2022,44634,"Spotswood Primary School, Spotswood, VIC",
Other,34860,41800,2022,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,105465,475343,2022,44634,"Spotswood Primary School, Spotswood, VIC",
Australian government capital expenditure,20087,759728,2019,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,62828,2426528,2019,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2019,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2019,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,0,2019,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,82915,3186256,2019,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,15291,47492,2021,44843,"Wembley Primary School, Yarraville, VIC",
State / territory government capital expenditure,60365,171922,2021,44843,"Wembley Primary School, Yarraville, VIC",
New school loans,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC",
Other,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC",
Total capital expenditure,75656,219414,2021,44843,"Wembley Primary School, Yarraville, VIC",
Australian government capital expenditure,80965,161959,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
State / territory government capital expenditure,319635,650446,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
New school loans,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Income allocated to current capital projects,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Other,6510,6510,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Total capital expenditure,407110,818915,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Australian government capital expenditure,140557,359078,2017,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
State / territory government capital expenditure,264547,372969,2017,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
New school loans,0,0,2017,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Income allocated to current capital projects,0,0,2017,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Other,0,25245,2017,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Total capital expenditure,405104,757292,2017,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Australian government capital expenditure,26081,103465,2019,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,81576,374411,2019,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2019,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2019,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,25212,77096,2019,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,132869,554972,2019,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,71935,1008228,2019,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,224997,3148384,2019,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2019,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2019,44044,"Newport Lakes Primary School, Newport, VIC",
Other,13771,54622,2019,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,310703,4211234,2019,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,25291,81547,2021,44378,"Footscray City Primary School, Footscray, VIC",
State / territory government capital expenditure,99846,275804,2021,44378,"Footscray City Primary School, Footscray, VIC",
New school loans,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC",
Other,0,19330,2021,44378,"Footscray City Primary School, Footscray, VIC",
Total capital expenditure,125137,376681,2021,44378,"Footscray City Primary School, Footscray, VIC",
Australian government capital expenditure,0,0,2019,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2019,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2019,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,170895,486996,2019,45797,"St John's School, Footscray, VIC",
Other,340341,625463,2019,45797,"St John's School, Footscray, VIC",
Total capital expenditure,511236,1112459,2019,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,2897378,3163481,2021,44714,"Footscray North Primary School, Footscray, VIC",
State / territory government capital expenditure,11438344,12508614,2021,44714,"Footscray North Primary School, Footscray, VIC",
New school loans,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC",
Other,82932,82932,2021,44714,"Footscray North Primary School, Footscray, VIC",
Total capital expenditure,14418654,15755027,2021,44714,"Footscray North Primary School, Footscray, VIC",
Australian government capital expenditure,154996,337496,2022,45538,"Bayside P-12 College, Williamstown, VIC",
State / territory government capital expenditure,594940,1329523,2022,45538,"Bayside P-12 College, Williamstown, VIC",
New school loans,0,0,2022,45538,"Bayside P-12 College, Williamstown, VIC",
Income allocated to current capital projects,0,0,2022,45538,"Bayside P-12 College, Williamstown, VIC",
Other,31180,50680,2022,45538,"Bayside P-12 College, Williamstown, VIC",
Total capital expenditure,781116,1717699,2022,45538,"Bayside P-12 College, Williamstown, VIC",
Australian government capital expenditure,2036522,10256194,2022,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
State / territory government capital expenditure,7817003,41188468,2022,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
New school loans,0,0,2022,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Income allocated to current capital projects,0,0,2022,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Other,0,0,2022,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Total capital expenditure,9853525,51444662,2022,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Australian government capital expenditure,14452,113331,2021,44461,"Kensington Primary School, Kensington, VIC",
